name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
IS_NEW_PAYMENT_METHOD__MODEL_FEATURE,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
IS_FREE_MAIL__MODEL_FEATURE,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
IS_EMAIL_VERIFIED__MODEL_FEATURE,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
ISSUER_RISKY_GMV__MODEL_FEATURE,FLOAT,COLUMN,Y,,N,N,,,,,
PM_COUNTRY_RISKY_GMV__MODEL_FEATURE,FLOAT,COLUMN,Y,,N,N,,,,,
SEASONALITY_ATTUNED_BIN_RISKY_GMV__MODEL_FEATURE,FLOAT,COLUMN,Y,,N,N,,,,,
CART_WITHOUT_FEE_ITEMS,ARRAY,COLUMN,Y,,N,N,,,,,
IS_DIGITAL,"NUMBER(1,0)",COLUMN,Y,,N,N,,,,,
IS_SUSPICIOUS_AMOUNT,"NUMBER(2,0)",COLUMN,Y,,N,N,,,,,
DAYS_FROM_STORE_FIRST_TX__MODEL_FEATURE,FLOAT,COLUMN,Y,,N,N,,,,,
DAYS_FROM_STORE_CREATION__MODEL_FEATURE,FLOAT,COLUMN,Y,,N,N,,,,,
AVS,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
PARSED_USER_AGENT,OBJECT,COLUMN,Y,,N,N,,,,,
PROD_RECIPIENT_INFO,VARIANT,COLUMN,Y,,N,N,,,,,
FIRST_USER_COMPLETED_KYC_RESULT,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
FIRST_USER_COMPLETED_KYC_TYPE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
FIRST_USER_COMPLETED_KYC_PROVIDER,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
FIRST_USER_COMPLETED_NUM_OF_KYC_ATTEMPTS,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
